"Participant ID","Survey Identifier","Survey Timestamp",Cheerful,Disgusted,Attentive,Bashful,Sluggish,Daring,Surprised,Strong,Scornful,Relaxed,Irritable,Delighted,Inspired,Fearless,"Disgusted with self",Sad,Calm,Afraid,Tired,Amazed,Shaky,Happy,Timid,Alone,Alert,Upset,Angry,Bold,Blue,Shy,Active,Guilty,Joyful,Nervous,Lonely,Sleepy,Excited,Hostile,Proud,Jittery,Lively,Ashamed,"At ease",Scared,Drowsy,"Angry at self",Enthusiastic,Downhearted,Sheepish,Distressed,Blameworthy,Determined,Frightened,Astonished,Interested,Loathing,Confident,Energetic,Concentrating,"Dissatisfied with self",Complete?
TEAM_YA_023,,"2024-07-28 15:49:31",4,3,4,"1: very slightly or not at all",3,2,2,3,"1: very slightly or not at all","5: extremely","1: very slightly or not at all",4,4,3,4,4,4,"1: very slightly or not at all","5: extremely",3,3,4,"1: very slightly or not at all",2,3,3,"1: very slightly or not at all",3,"5: extremely","1: very slightly or not at all",3,3,4,2,3,4,4,"1: very slightly or not at all",4,"1: very slightly or not at all",4,4,4,"1: very slightly or not at all","5: extremely",4,4,4,"1: very slightly or not at all",4,4,"5: extremely","1: very slightly or not at all",2,4,2,3,2,3,"5: extremely",Complete
TEAM_YA_025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_028,,"2024-10-01 13:55:24",4,3,"5: extremely",2,3,2,2,"5: extremely",2,3,4,"5: extremely",4,2,2,4,4,3,4,2,"1: very slightly or not at all",4,2,2,"1: very slightly or not at all",3,2,"1: very slightly or not at all","1: very slightly or not at all",2,"5: extremely","1: very slightly or not at all",3,4,"1: very slightly or not at all",4,3,"1: very slightly or not at all",2,2,3,"1: very slightly or not at all",2,2,4,3,4,2,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","5: extremely","1: very slightly or not at all",2,"5: extremely","1: very slightly or not at all",3,4,"5: extremely",2,Complete
TEAM_YA_029,,"2024-07-19 13:50:21",3,"1: very slightly or not at all",3,2,3,2,2,2,2,2,2,3,"1: very slightly or not at all",2,2,3,3,"1: very slightly or not at all",3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,"1: very slightly or not at all",2,2,2,2,2,2,2,3,2,2,2,3,2,3,"1: very slightly or not at all",2,3,2,2,2,2,3,Complete
TEAM_YA_030,,"2024-07-19 16:05:55",3,2,4,2,2,2,3,3,2,4,2,3,4,2,2,3,4,2,3,2,2,4,2,2,4,2,2,2,2,2,4,2,2,2,2,2,4,2,3,3,4,2,4,3,3,2,3,2,2,2,2,2,2,2,4,2,4,4,"5: extremely",2,Complete
TEAM_YA_031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_032,,"2024-09-03 15:41:40",3,2,4,2,4,2,2,3,2,"5: extremely","1: very slightly or not at all",3,3,2,2,2,4,2,4,2,3,4,3,2,3,2,2,2,2,2,4,"1: very slightly or not at all",3,2,2,4,4,2,2,3,3,"1: very slightly or not at all","5: extremely","1: very slightly or not at all",3,"1: very slightly or not at all",3,2,"1: very slightly or not at all",2,"1: very slightly or not at all",3,2,2,3,"1: very slightly or not at all",2,3,4,"1: very slightly or not at all",Complete
TEAM_YA_033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_034,,"2024-09-04 11:03:24",3,"1: very slightly or not at all",3,2,4,2,2,2,3,"1: very slightly or not at all",4,2,2,2,2,4,3,"1: very slightly or not at all","5: extremely",2,3,3,2,4,2,3,4,"1: very slightly or not at all",2,"1: very slightly or not at all",3,"1: very slightly or not at all",2,3,4,"5: extremely",2,"1: very slightly or not at all","1: very slightly or not at all",4,2,"1: very slightly or not at all",3,"1: very slightly or not at all",4,"1: very slightly or not at all",2,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",2,"1: very slightly or not at all",2,2,2,3,Complete
TEAM_YA_035,,"2024-08-18 22:17:05",4,3,4,2,3,2,3,"5: extremely",3,"1: very slightly or not at all","5: extremely",3,4,"5: extremely","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",2,"1: very slightly or not at all","1: very slightly or not at all",3,2,4,"1: very slightly or not at all",2,3,"5: extremely","1: very slightly or not at all","1: very slightly or not at all","5: extremely",2,4,2,3,"5: extremely",4,3,3,"1: very slightly or not at all",4,"1: very slightly or not at all",3,"1: very slightly or not at all",3,"1: very slightly or not at all",4,2,3,2,"1: very slightly or not at all",4,"1: very slightly or not at all",3,"5: extremely",2,4,4,3,"1: very slightly or not at all",Complete
TEAM_YA_036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_037,,"2024-09-03 14:32:43",4,"1: very slightly or not at all",4,2,3,4,2,4,2,4,2,3,4,3,3,2,4,3,3,2,2,3,3,3,3,2,2,3,2,2,"5: extremely",3,3,4,4,3,3,3,3,"1: very slightly or not at all",2,3,3,2,2,3,3,3,2,2,3,3,3,2,3,2,3,2,4,4,Complete
TEAM_YA_038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_040,,"2024-09-21 21:51:35",4,4,"5: extremely","1: very slightly or not at all","1: very slightly or not at all","5: extremely",4,"5: extremely",2,"5: extremely",4,"5: extremely","5: extremely",3,"1: very slightly or not at all",2,4,"1: very slightly or not at all","5: extremely",4,"1: very slightly or not at all","5: extremely","1: very slightly or not at all","5: extremely","5: extremely",2,2,"5: extremely",3,"1: very slightly or not at all","5: extremely","1: very slightly or not at all","5: extremely",4,"5: extremely","5: extremely","5: extremely",2,"5: extremely","1: very slightly or not at all","5: extremely","1: very slightly or not at all","5: extremely","1: very slightly or not at all","1: very slightly or not at all",2,"5: extremely",3,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","5: extremely","1: very slightly or not at all",3,"5: extremely",2,"5: extremely","5: extremely","5: extremely",2,Complete
TEAM_YA_041,,"2024-09-24 10:07:12","5: extremely",2,"5: extremely",4,3,"5: extremely","5: extremely","5: extremely",3,"5: extremely",4,"5: extremely","5: extremely",4,2,3,4,"1: very slightly or not at all",2,4,3,"5: extremely","1: very slightly or not at all","1: very slightly or not at all",2,3,3,4,3,3,"5: extremely",2,"5: extremely",2,2,3,"5: extremely","1: very slightly or not at all","5: extremely",3,"5: extremely","1: very slightly or not at all",4,2,3,2,4,2,3,2,"1: very slightly or not at all",4,2,4,"5: extremely",2,"5: extremely","5: extremely",4,"1: very slightly or not at all",Complete
TEAM_YA_042,,"2024-09-25 12:06:00","5: extremely",3,"5: extremely","1: very slightly or not at all",3,4,"5: extremely",4,3,"5: extremely",2,"5: extremely",3,4,"1: very slightly or not at all",3,4,3,"5: extremely",4,3,"5: extremely",2,3,4,4,3,"5: extremely",3,"1: very slightly or not at all",4,"1: very slightly or not at all",4,2,2,"5: extremely",4,2,4,"1: very slightly or not at all",4,"1: very slightly or not at all",4,2,"1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all",3,"1: very slightly or not at all",4,"5: extremely","5: extremely","1: very slightly or not at all",Complete
TEAM_YA_043,,"2024-10-08 17:51:20",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"1: very slightly or not at all",4,4,"1: very slightly or not at all",4,"1: very slightly or not at all",2,3,3,3,3,3,3,3,3,3,3,3,3,2,4,"1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all",4,4,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",2,4,4,3,3,3,3,3,Complete
TEAM_YA_044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_045,,"2024-10-02 12:14:59",4,2,4,"5: extremely",2,2,3,4,3,2,3,4,4,2,2,2,2,3,4,3,4,3,4,3,2,4,3,3,2,4,"5: extremely",3,4,4,3,3,3,2,3,"5: extremely",3,"1: very slightly or not at all",3,2,2,2,3,2,3,2,2,3,2,2,4,2,2,2,4,"1: very slightly or not at all",Complete
TEAM_YA_046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_048,,"2024-11-19 12:19:52",4,"1: very slightly or not at all",4,"1: very slightly or not at all",3,2,"1: very slightly or not at all",2,"1: very slightly or not at all",2,3,3,"5: extremely",2,"1: very slightly or not at all",4,2,"1: very slightly or not at all",3,3,"1: very slightly or not at all",4,"1: very slightly or not at all",3,3,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",3,"1: very slightly or not at all",2,"1: very slightly or not at all",3,4,3,4,"5: extremely",2,4,"1: very slightly or not at all",2,"1: very slightly or not at all",2,"1: very slightly or not at all",2,"1: very slightly or not at all",3,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all",3,3,"1: very slightly or not at all",2,3,4,"1: very slightly or not at all",Complete
TEAM_YA_049,,"2024-10-17 13:03:45","5: extremely",4,"5: extremely","5: extremely",3,4,4,"5: extremely",2,3,3,3,4,"5: extremely","1: very slightly or not at all",2,3,"1: very slightly or not at all",4,4,"1: very slightly or not at all",4,3,2,4,3,2,2,2,3,4,3,4,"1: very slightly or not at all",2,3,3,2,4,"1: very slightly or not at all",4,"1: very slightly or not at all",3,2,3,2,4,"1: very slightly or not at all",2,4,2,3,2,2,3,"1: very slightly or not at all",4,"5: extremely",4,"1: very slightly or not at all",Complete
TEAM_YA_050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_058,,"2024-10-25 14:15:16",4,"1: very slightly or not at all","5: extremely","1: very slightly or not at all",2,2,"1: very slightly or not at all",4,"1: very slightly or not at all",3,"1: very slightly or not at all",4,4,3,"1: very slightly or not at all",2,3,"1: very slightly or not at all",2,2,"1: very slightly or not at all",4,2,3,4,"1: very slightly or not at all","1: very slightly or not at all",4,2,3,4,"1: very slightly or not at all",4,2,3,2,4,"1: very slightly or not at all","5: extremely","1: very slightly or not at all",3,"1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","5: extremely","1: very slightly or not at all",2,"5: extremely","1: very slightly or not at all",4,3,"5: extremely","1: very slightly or not at all",Complete
TEAM_YA_059,,"2024-11-02 17:55:39",3,2,2,2,4,3,2,2,"1: very slightly or not at all",3,4,3,3,2,4,4,3,3,"5: extremely",2,3,3,4,3,2,2,2,2,3,2,2,3,3,4,3,4,3,"1: very slightly or not at all",2,4,3,3,3,2,"5: extremely",4,2,3,2,3,2,2,3,2,3,2,2,2,3,4,Complete
TEAM_YA_060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_062,,"2024-12-01 19:17:46",2,3,4,"1: very slightly or not at all","5: extremely",3,2,2,4,2,3,3,3,3,4,"5: extremely",2,3,"5: extremely",3,4,3,3,"5: extremely",2,3,4,2,4,3,3,2,3,4,4,4,3,4,3,2,2,2,"1: very slightly or not at all","1: very slightly or not at all",3,3,2,4,2,4,2,3,"1: very slightly or not at all",2,3,3,2,2,3,4,Complete
TEAM_YA_063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_072,,"2024-12-11 10:37:54","5: extremely",4,"5: extremely",2,4,"1: very slightly or not at all",2,3,3,"5: extremely","5: extremely","5: extremely",4,2,"1: very slightly or not at all",3,"5: extremely",2,4,4,3,"5: extremely",2,2,"5: extremely",4,4,2,2,2,4,2,"5: extremely",4,2,4,"5: extremely","1: very slightly or not at all",4,2,"5: extremely",2,"5: extremely","1: very slightly or not at all",4,2,"5: extremely",2,"1: very slightly or not at all","1: very slightly or not at all",2,3,"1: very slightly or not at all",2,"5: extremely","1: very slightly or not at all",4,"5: extremely","5: extremely",3,Complete
TEAM_YA_073,,"2025-01-14 20:41:41",4,4,2,"1: very slightly or not at all",4,3,2,3,4,3,4,2,3,3,4,3,4,3,4,3,4,"5: extremely",2,3,2,3,3,3,4,3,4,4,3,3,4,4,3,4,3,2,3,4,4,3,4,4,3,2,4,3,4,3,4,3,4,4,3,2,"1: very slightly or not at all",4,Complete
TEAM_YA_074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_075,,"2025-01-16 22:41:33",3,3,4,"1: very slightly or not at all",2,4,4,3,2,"1: very slightly or not at all",4,2,4,2,3,2,2,4,3,"1: very slightly or not at all","5: extremely",3,2,3,"5: extremely",3,3,4,4,2,2,2,3,"5: extremely",3,3,3,4,3,"5: extremely",4,2,2,4,2,4,2,3,4,4,3,"5: extremely",2,2,3,4,3,4,4,3,Complete
TEAM_YA_076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_079,,"2025-01-18 16:44:30",2,"1: very slightly or not at all",4,4,"5: extremely",2,3,2,3,4,4,2,3,2,3,4,4,2,4,3,2,3,3,"5: extremely",4,2,2,2,2,3,2,"1: very slightly or not at all",2,3,"5: extremely",3,4,"1: very slightly or not at all",2,"1: very slightly or not at all",3,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",2,2,"5: extremely",2,"1: very slightly or not at all",4,"1: very slightly or not at all",2,3,"5: extremely",3,Complete
TEAM_YA_081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_089,,"2025-01-15 13:03:54",4,2,4,"1: very slightly or not at all",2,3,3,4,2,3,2,4,3,3,"1: very slightly or not at all",2,3,3,3,3,2,4,2,3,4,2,2,3,2,2,4,2,4,3,2,2,4,2,4,3,4,3,2,2,2,2,4,2,2,3,2,4,2,2,4,2,4,4,4,2,Complete
TEAM_YA_090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
TEAM_YA_099,,"2025-01-28 19:58:57",4,"1: very slightly or not at all",4,"1: very slightly or not at all",2,"1: very slightly or not at all",2,"1: very slightly or not at all","1: very slightly or not at all",3,3,3,2,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all",3,"1: very slightly or not at all","5: extremely","1: very slightly or not at all",4,4,"1: very slightly or not at all","1: very slightly or not at all",4,2,"1: very slightly or not at all",2,"1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all",3,2,"1: very slightly or not at all",4,3,"1: very slightly or not at all","1: very slightly or not at all",4,3,"1: very slightly or not at all",3,"1: very slightly or not at all",3,"1: very slightly or not at all",3,"1: very slightly or not at all","1: very slightly or not at all",2,"1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all",3,4,4,"1: very slightly or not at all",Complete
TEAM_YA_100,,"2025-01-28 23:22:34",4,4,3,2,3,3,2,3,3,3,3,4,4,2,3,4,3,2,3,2,"1: very slightly or not at all",4,"1: very slightly or not at all",2,3,3,2,4,3,2,3,4,3,3,2,3,3,2,3,2,4,2,3,2,3,3,3,3,2,2,2,4,2,2,4,2,3,3,2,3,Complete
TEAM_YA_101,,"2025-02-13 13:31:38","5: extremely",2,4,2,2,2,3,4,2,2,2,4,"5: extremely",3,2,2,4,2,4,4,2,"5: extremely","1: very slightly or not at all","1: very slightly or not at all",3,2,"1: very slightly or not at all",2,"1: very slightly or not at all","1: very slightly or not at all",3,"1: very slightly or not at all","5: extremely",2,"1: very slightly or not at all",3,"5: extremely",2,"5: extremely",2,4,"1: very slightly or not at all",3,"1: very slightly or not at all",2,"1: very slightly or not at all",4,"1: very slightly or not at all",2,2,"1: very slightly or not at all","5: extremely",2,2,"5: extremely","1: very slightly or not at all",4,4,4,"1: very slightly or not at all",Complete
TEAM_YA_102,,"2025-01-27 12:54:02","5: extremely",4,"5: extremely","1: very slightly or not at all",4,3,4,3,3,"5: extremely",3,"5: extremely",4,2,"1: very slightly or not at all",4,"5: extremely",4,"5: extremely","5: extremely",3,"5: extremely",2,2,"5: extremely",3,3,2,4,"1: very slightly or not at all","5: extremely","1: very slightly or not at all","5: extremely","5: extremely",2,"5: extremely","5: extremely",2,2,4,3,2,"5: extremely",3,"5: extremely",2,4,2,"1: very slightly or not at all",4,"1: very slightly or not at all",3,2,"1: very slightly or not at all","5: extremely","1: very slightly or not at all",3,3,"5: extremely",2,Complete
TEAM_YA_103,,"2025-02-07 18:23:11",4,"1: very slightly or not at all","5: extremely",4,2,2,2,"5: extremely","1: very slightly or not at all",3,2,4,4,3,"1: very slightly or not at all","1: very slightly or not at all",4,2,3,3,"1: very slightly or not at all","5: extremely","1: very slightly or not at all","1: very slightly or not at all",4,"1: very slightly or not at all","1: very slightly or not at all",2,"1: very slightly or not at all","1: very slightly or not at all","5: extremely","1: very slightly or not at all",4,2,"1: very slightly or not at all",3,4,"1: very slightly or not at all","5: extremely","1: very slightly or not at all",3,"1: very slightly or not at all",3,"1: very slightly or not at all",2,"1: very slightly or not at all",3,"1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","1: very slightly or not at all","5: extremely","1: very slightly or not at all",3,4,"1: very slightly or not at all","5: extremely",3,"5: extremely","1: very slightly or not at all",Complete
